[16:21:26] [[770,0,1,5,1,5,0,0,0,2,6,45.011,-90.0014,89.9983,-89.9801,-89.9959,0.0113297,3,6,-347.281,-553.366,206.442,0.0168236,-0.00411655,-45.0003,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[771,0,1,5,1,5,0,0,0,2,6,45.01,-90.001,89.9938,-89.9794,-89.9966,0.00892639,3,6,-347.308,-553.377,206.485,0.0133901,-0.00343114,-44.999,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[772,0,1,5,1,5,0,0,0,2,6,45.01,-90.001,89.9938,-89.9794,-89.9966,0.00892639,3,6,-347.308,-553.377,206.485,0.0133901,-0.00343114,-44.999,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[773,0,1,5,1,5,0,0,0,2,6,45.0124,-89.999,89.9959,-89.9811,-89.9973,0.00995636,3,6,-347.288,-553.387,206.447,0.0157933,-0.00274384,-44.9976,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[774,0,1,5,1,5,0,0,0,2,6,45.0058,-90.0027,89.9966,-89.9804,-89.9966,0.0109863,3,6,-347.342,-553.341,206.478,0.0133902,-0.00343066,-45.0052,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[775,0,1,5,1,5,0,0,0,2,6,45.0058,-90.0027,89.9966,-89.9804,-89.9966,0.0109863,3,6,-347.342,-553.341,206.478,0.0133902,-0.00343066,-45.0052,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[776,0,1,5,1,5,0,0,0,2,6,45.0117,-90.0038,89.9959,-89.9797,-89.9955,0.0102997,3,6,-347.279,-553.381,206.494,0.0123604,-0.00446097,-44.9986,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[777,0,1,5,1,5,0,0,0,2,6,45.0117,-90.0038,89.9959,-89.9797,-89.9955,0.0102997,3,6,-347.279,-553.381,206.494,0.0123604,-0.00446097,-44.9986,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[778,0,1,5,1,5,0,0,0,2,6,45.01,-89.9993,89.9973,-89.9825,-89.9983,0.0109863,3,6,-347.318,-553.365,206.442,0.0154499,-0.00171365,-45.001,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[779,0,1,5,1,5,0,0,0,2,6,45.0103,-90.0051,89.9955,-89.9797,-89.9979,0.00995636,3,6,-347.304,-553.364,206.513,0.0106434,-0.00205809,-44.9997,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[780,0,1,5,1,5,0,0,0,2,6,45.0103,-90.0051,89.9955,-89.9797,-89.9979,0.00995636,3,6,-347.304,-553.364,206.513,0.0106434,-0.00205809,-44.9997,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[781,0,1,5,1,5,0,0,0,2,6,45.0089,-90.0014,89.9962,-89.9794,-89.9962,0.00926971,3,6,-347.305,-553.361,206.462,0.0154501,-0.00377405,-45.0003,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[782,0,1,5,1,5,0,0,0,2,6,45.0089,-90.0014,89.9962,-89.9794,-89.9962,0.00926971,3,6,-347.305,-553.361,206.462,0.0154501,-0.00377405,-45.0003,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[783,0,1,5,1,5,0,0,0,2,6,45.0113,-89.9986,89.9955,-89.9784,-89.9962,0.00926971,3,6,-347.282,-553.375,206.434,0.01854,-0.00377355,-44.9979,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[784,0,1,5,1,5,0,0,0,2,6,45.01,-90.0003,89.9935,-89.9811,-89.9973,0.010643,3,6,-347.323,-553.381,206.489,0.0120168,-0.00274435,-45.0007,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
[16:21:26] [[785,0,1,5,1,5,0,0,0,2,6,45.01,-90.0003,89.9935,-89.9811,-89.9973,0.010643,3,6,-347.323,-553.381,206.489,0.0120168,-0.00274435,-45.0007,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]]
